RTOName,Island,LowDemandMonths,AvgDomesticVisitors_LowDemand,VisitorDiffPct,AvgDomesticSpendMillion_LowDemand,SpendDiffPct,AvgDomesticGuestNights_LowDemand,GuestNightsDiffPct
Ruapehu,North Island,14,247507.0,-17.6,11.92,110.7,18257.0,-2.8
Waikato,North Island,14,826000.0,-14.2,62.7,13.3,68471.0,-22.2
Wellington,North Island,14,442443.0,-15.1,69.39,12.6,162507.0,-4.7
Rotorua,North Island,14,381286.0,-13.7,26.79,12.1,88136.0,-13.3
Queenstown,South Island,13,171092.0,-23.6,57.62,10.9,111077.0,-10.2
Wānaka,South Island,13,110038.0,-36.4,14.46,8.5,,
Canterbury,South Island,14,444050.0,-15.9,86.94,6.6,181029.0,-18.7
Manawatū,North Island,14,416043.0,-12.9,22.52,3.3,,
Dunedin,South Island,14,194157.0,-15.7,28.84,3.2,43971.0,-6.5
Hurunui,South Island,14,236193.0,-23.1,7.96,1.3,17507.0,-31.3
Southland,South Island,13,144800.0,-25.2,26.86,0.4,23938.0,-25.0
Wairarapa,North Island,14,140879.0,-20.2,12.34,-3.2,9457.0,-42.8
Clutha,South Island,13,169962.0,-16.7,3.42,-4.0,4862.0,-55.3
Timaru,South Island,13,249685.0,-19.5,9.63,-4.6,16400.0,-38.7
Auckland,North Island,14,873279.0,-12.2,248.36,-5.2,351750.0,-16.4
Whanganui,North Island,14,167000.0,-15.6,6.66,-5.6,4593.0,-13.3
Waitaki,South Island,13,224154.0,-27.3,8.8,-5.8,19062.0,-39.4
Hawke's Bay,North Island,14,184729.0,-19.4,23.26,-7.0,51979.0,-31.6
Taupō,North Island,14,360543.0,-17.6,27.2,-8.7,,
Coastal Bay of Plenty,North Island,14,334821.0,-17.2,27.41,-9.7,,
Gisborne,North Island,14,106771.0,-27.7,8.06,-10.6,,
Mackenzie,South Island,13,123869.0,-33.3,7.51,-11.7,15008.0,-42.0
Taranaki,North Island,13,169562.0,-12.1,16.26,-12.1,41462.0,-39.6
Northland,North Island,14,267071.0,-22.0,51.17,-16.7,74157.0,-58.5
Kaikōura,South Island,14,103543.0,-29.9,4.34,-17.4,,
West Coast,South Island,13,95469.0,-38.0,16.18,-23.2,37169.0,-43.3
Fiordland,South Island,13,41977.0,-46.4,5.66,-27.7,12423.0,-55.8
Marlborough,South Island,14,167193.0,-31.6,11.89,-30.2,28414.0,-39.0
Coromandel,North Island,14,342171.0,-28.2,19.7,-36.7,30964.0,-65.6
Central Otago,South Island,13,201515.0,-27.8,7.3,-37.8,9646.0,-57.5
Nelson Tasman,South Island,14,124679.0,-29.6,22.76,-38.3,53021.0,-55.3
Horowhenua,North Island,14,322157.0,-16.3,,,,
Rangitīkei,North Island,14,319129.0,-16.9,,,,
Tararua,North Island,14,214179.0,-12.8,,,,
Waimate,South Island,13,169431.0,-21.4,,,,
Waitomo,North Island,14,75457.0,-21.5,,,,
Whakatane,North Island,14,103557.0,-19.4,,,,
Ōtorohanga,North Island,13,91900.0,-22.8,,,,
