AnalysisLevel,Island,RTO_or_Island,MonthNumber,MonthName,AvgMonthlySpendMillion,SeasonalityIndex
Island,North Island,North Island,1,January,1042.5,112.3
Island,North Island,North Island,2,February,948.27,102.1
Island,North Island,North Island,3,March,994.24,107.1
Island,North Island,North Island,4,April,863.32,93.0
Island,North Island,North Island,5,May,867.16,93.4
Island,North Island,North Island,6,June,809.31,87.2
Island,North Island,North Island,7,July,836.55,90.1
Island,North Island,North Island,8,August,836.8,90.1
Island,North Island,North Island,9,September,844.99,91.0
Island,North Island,North Island,10,October,956.67,103.0
Island,North Island,North Island,11,November,1017.91,109.6
Island,North Island,North Island,12,December,1125.54,121.2
Island,South Island,South Island,1,January,695.34,122.4
Island,South Island,South Island,2,February,665.35,117.1
Island,South Island,South Island,3,March,651.07,114.6
Island,South Island,South Island,4,April,563.93,99.2
Island,South Island,South Island,5,May,461.02,81.1
Island,South Island,South Island,6,June,415.36,73.1
Island,South Island,South Island,7,July,523.17,92.1
Island,South Island,South Island,8,August,523.81,92.2
Island,South Island,South Island,9,September,490.61,86.3
Island,South Island,South Island,10,October,517.91,91.1
Island,South Island,South Island,11,November,597.22,105.1
Island,South Island,South Island,12,December,714.72,125.8
RTO,North Island,Auckland,1,January,445.54,106.7
RTO,North Island,Auckland,2,February,414.17,99.2
RTO,North Island,Auckland,3,March,452.04,108.3
RTO,North Island,Auckland,4,April,355.29,85.1
RTO,North Island,Auckland,5,May,390.67,93.6
RTO,North Island,Auckland,6,June,354.95,85.0
RTO,North Island,Auckland,7,July,370.59,88.8
RTO,North Island,Auckland,8,August,386.61,92.6
RTO,North Island,Auckland,9,September,403.86,96.7
RTO,North Island,Auckland,10,October,431.27,103.3
RTO,North Island,Auckland,11,November,492.95,118.1
RTO,North Island,Auckland,12,December,511.67,122.6
RTO,North Island,Coastal Bay of Plenty,1,January,50.37,132.9
RTO,North Island,Coastal Bay of Plenty,2,February,38.47,101.5
RTO,North Island,Coastal Bay of Plenty,3,March,39.69,104.7
RTO,North Island,Coastal Bay of Plenty,4,April,35.72,94.2
RTO,North Island,Coastal Bay of Plenty,5,May,33.44,88.2
RTO,North Island,Coastal Bay of Plenty,6,June,35.21,92.9
RTO,North Island,Coastal Bay of Plenty,7,July,30.72,81.0
RTO,North Island,Coastal Bay of Plenty,8,August,31.03,81.9
RTO,North Island,Coastal Bay of Plenty,9,September,33.32,87.9
RTO,North Island,Coastal Bay of Plenty,10,October,38.54,101.7
RTO,North Island,Coastal Bay of Plenty,11,November,38.52,101.7
RTO,North Island,Coastal Bay of Plenty,12,December,49.75,131.3
RTO,North Island,Coromandel,1,January,56.97,192.3
RTO,North Island,Coromandel,2,February,34.06,115.0
RTO,North Island,Coromandel,3,March,34.54,116.6
RTO,North Island,Coromandel,4,April,28.41,95.9
RTO,North Island,Coromandel,5,May,21.31,71.9
RTO,North Island,Coromandel,6,June,22.63,76.4
RTO,North Island,Coromandel,7,July,18.44,62.2
RTO,North Island,Coromandel,8,August,17.1,57.7
RTO,North Island,Coromandel,9,September,20.18,68.1
RTO,North Island,Coromandel,10,October,28.81,97.2
RTO,North Island,Coromandel,11,November,27.51,92.9
RTO,North Island,Coromandel,12,December,45.52,153.7
RTO,North Island,Gisborne,1,January,11.12,111.8
RTO,North Island,Gisborne,2,February,8.78,88.3
RTO,North Island,Gisborne,3,March,9.2,92.6
RTO,North Island,Gisborne,4,April,9.91,99.6
RTO,North Island,Gisborne,5,May,9.4,94.5
RTO,North Island,Gisborne,6,June,9.05,91.0
RTO,North Island,Gisborne,7,July,9.01,90.6
RTO,North Island,Gisborne,8,August,8.76,88.1
RTO,North Island,Gisborne,9,September,8.62,86.7
RTO,North Island,Gisborne,10,October,10.52,105.8
RTO,North Island,Gisborne,11,November,10.47,105.3
RTO,North Island,Gisborne,12,December,14.47,145.6
RTO,North Island,Hawke's Bay,1,January,35.11,114.9
RTO,North Island,Hawke's Bay,2,February,31.38,102.7
RTO,North Island,Hawke's Bay,3,March,31.79,104.0
RTO,North Island,Hawke's Bay,4,April,30.91,101.1
RTO,North Island,Hawke's Bay,5,May,29.52,96.6
RTO,North Island,Hawke's Bay,6,June,26.09,85.3
RTO,North Island,Hawke's Bay,7,July,25.76,84.3
RTO,North Island,Hawke's Bay,8,August,25.84,84.5
RTO,North Island,Hawke's Bay,9,September,26.2,85.7
RTO,North Island,Hawke's Bay,10,October,32.6,106.7
RTO,North Island,Hawke's Bay,11,November,32.75,107.1
RTO,North Island,Hawke's Bay,12,December,38.85,127.1
RTO,North Island,Manawatū,1,January,20.96,81.2
RTO,North Island,Manawatū,2,February,28.32,109.8
RTO,North Island,Manawatū,3,March,26.76,103.7
RTO,North Island,Manawatū,4,April,23.9,92.6
RTO,North Island,Manawatū,5,May,27.1,105.0
RTO,North Island,Manawatū,6,June,26.74,103.6
RTO,North Island,Manawatū,7,July,26.71,103.5
RTO,North Island,Manawatū,8,August,25.73,99.7
RTO,North Island,Manawatū,9,September,24.91,96.5
RTO,North Island,Manawatū,10,October,26.74,103.6
RTO,North Island,Manawatū,11,November,25.14,97.4
RTO,North Island,Manawatū,12,December,26.61,103.1
RTO,North Island,Northland,1,January,100.26,138.0
RTO,North Island,Northland,2,February,92.76,127.7
RTO,North Island,Northland,3,March,87.93,121.1
RTO,North Island,Northland,4,April,68.39,94.2
RTO,North Island,Northland,5,May,62.6,86.2
RTO,North Island,Northland,6,June,54.34,74.8
RTO,North Island,Northland,7,July,63.61,87.6
RTO,North Island,Northland,8,August,65.73,90.5
RTO,North Island,Northland,9,September,45.16,62.2
RTO,North Island,Northland,10,October,66.94,92.2
RTO,North Island,Northland,11,November,75.0,103.3
RTO,North Island,Northland,12,December,88.81,122.3
RTO,North Island,Rotorua,1,January,56.15,129.7
